Date;Open;Close/Last;High;Low;Volume
09/13/2024;$131.10;$141.47;$143.00;$129.84;12.239.120,00 €
09/12/2024;$129.00;$130.77;$134.10;$127.2723;6.052.392,00 €
09/11/2024;$124.805;$129.28;$131.00;$121.30;8.731.203,00 €
09/10/2024;$123.00;$129.64;$129.82;$121.55;7.738.025,00 €
09/09/2024;$118.93;$124.82;$125.2289;$117.5003;9.771.186,00 €
09/06/2024;$122.93;$114.30;$124.69;$113.69;8.795.527,00 €
09/05/2024;$122.35;$119.57;$126.83;$119.43;6.066.645,00 €
09/04/2024;$120.25;$124.85;$125.98;$117.9401;8.191.094,00 €
09/03/2024;$132.00;$122.32;$132.73;$122.19;8.258.810,00 €
08/30/2024;$134.00;$132.42;$135.2499;$128.30;7.802.999,00 €
08/29/2024;$137.00;$132.56;$139.43;$131.00;8.431.380,00 €
08/28/2024;$138.16;$132.09;$138.40;$130.73;8.860.102,00 €
08/27/2024;$144.48;$140.01;$145.238;$138.19;10.943.130,00 €
08/26/2024;$148.12;$146.90;$152.35;$146.60;10.418.750,00 €
08/23/2024;$137.40;$150.01;$151.81;$135.51;17.791.300,00 €
08/22/2024;$141.39;$133.81;$141.78;$133.69;7.963.436,00 €
08/21/2024;$134.34;$141.42;$142.58;$132.87;11.774.540,00 €
08/20/2024;$139.735;$133.69;$141.36;$130.63;11.274.580,00 €
08/19/2024;$133.70;$135.35;$137.44;$131.16;6.595.737,00 €
08/16/2024;$133.25;$133.04;$136.32;$126.59;11.360.410,00 €
08/15/2024;$132.70;$131.93;$139.00;$130.73;10.856.850,00 €
08/14/2024;$136.37;$130.37;$137.40;$129.33;8.535.928,00 €
08/13/2024;$132.28;$135.38;$140.00;$130.26;8.123.111,00 €
08/12/2024;$133.49;$131.46;$139.2129;$129.22;6.932.336,00 €
08/09/2024;$135.89;$135.37;$136.685;$129.55;7.330.433,00 €
08/08/2024;$130.23;$135.99;$136.76;$128.06;10.378.310,00 €
08/07/2024;$140.878;$124.685;$142.158;$124.013;10.933.850,00 €
08/06/2024;$132.60;$136.921;$139.494;$126.218;12.260.230,00 €
08/05/2024;$105.165;$130.90;$135.427;$102.402;22.677.550,00 €
08/02/2024;$148.581;$144.799;$159.14;$141.71;14.126.190,00 €
08/01/2024;$161.50;$151.181;$163.436;$148.202;11.930.000,00 €
07/31/2024;$164.603;$161.444;$168.50;$160.8552;7.533.810,00 €
07/30/2024;$168.799;$160.407;$169.50;$159.249;9.154.800,00 €
07/29/2024;$181.999;$168.485;$183.70;$167.1275;12.801.620,00 €
07/26/2024;$170.00;$175.271;$177.697;$168.601;14.137.670,00 €
07/25/2024;$161.65;$160.647;$167.7855;$150.766;14.772.330,00 €
07/24/2024;$175.00;$167.269;$176.952;$166.702;13.773.770,00 €
07/23/2024;$176.399;$172.177;$179.80;$171.502;10.746.610,00 €
07/22/2024;$178.402;$180.009;$181.0662;$173.613;15.391.120,00 €
07/19/2024;$157.34;$177.85;$178.50;$156.50;20.458.260,00 €
07/18/2024;$163.39;$155.516;$163.70;$151.625;10.236.330,00 €
07/17/2024;$161.10;$159.00;$167.408;$153.00;17.211.670,00 €
07/16/2024;$161.50;$166.43;$167.5784;$157.6395;15.809.620,00 €
07/15/2024;$152.40;$161.128;$163.90;$149.2425;24.670.830,00 €
07/12/2024;$133.92;$139.676;$143.5404;$132.419;10.640.830,00 €
07/11/2024;$139.60;$135.856;$143.20;$132.9235;13.548.930,00 €
07/10/2024;$131.97;$130.572;$134.50;$129.60;6.387.290,00 €
07/09/2024;$131.388;$130.177;$132.00;$127.8085;8.968.510,00 €
07/08/2024;$131.453;$129.058;$132.50;$125.8782;8.736.390,00 €
07/05/2024;$121.55;$128.172;$129.917;$120.232;15.029.080,00 €
07/03/2024;$129.80;$130.209;$132.80;$127.3471;6.659.400,00 €
07/02/2024;$136.551;$132.019;$138.4405;$130.657;9.229.110,00 €
07/01/2024;$141.00;$136.597;$143.595;$136.308;14.129.320,00 €
06/28/2024;$151.642;$137.748;$151.90;$136.702;34.113.490,00 €
06/27/2024;$148.50;$152.54;$153.90;$146.35;9.307.670,00 €
06/26/2024;$147.229;$145.773;$150.5015;$144.50;7.501.750,00 €
06/25/2024;$141.377;$149.574;$149.90;$139.3391;13.627.970,00 €
06/24/2024;$139.80;$137.215;$144.89;$132.5541;16.080.740,00 €
06/21/2024;$142.00;$148.376;$149.105;$140.902;11.494.630,00 €
06/20/2024;$148.211;$146.54;$150.559;$142.206;9.097.600,00 €
06/18/2024;$145.793;$146.943;$151.095;$144.60;8.933.680,00 €
06/17/2024;$149.98;$150.726;$156.901;$142.1169;12.076.360,00 €
06/14/2024;$150.50;$149.554;$153.80;$146.151;13.790.090,00 €
06/13/2024;$156.33;$148.388;$157.376;$144.101;21.107.660,00 €
06/12/2024;$162.00;$160.367;$169.271;$159.1765;13.681.250,00 €
06/11/2024;$154.20;$155.549;$156.415;$148.66;11.411.820,00 €
06/10/2024;$157.501;$159.992;$164.776;$156.029;7.264.600,00 €
06/07/2024;$167.102;$159.62;$171.77;$158.50;12.626.880,00 €
06/06/2024;$169.859;$165.663;$173.4698;$164.705;11.622.910,00 €
06/05/2024;$167.50;$169.469;$171.784;$163.624;10.955.850,00 €
06/04/2024;$161.742;$163.877;$169.70;$161.50;13.229.510,00 €
06/03/2024;$160.10;$162.741;$165.60;$156.0417;11.222.360,00 €
05/31/2024;$159.70;$152.449;$161.482;$144.20;22.153.560,00 €
05/30/2024;$165.30;$154.10;$171.499;$153.1955;14.776.450,00 €
05/29/2024;$165.00;$161.87;$165.907;$161.118;7.344.250,00 €
05/28/2024;$165.00;$167.535;$169.155;$161.002;10.799.360,00 €
05/24/2024;$154.00;$168.484;$168.4995;$152.80;12.068.560,00 €
05/23/2024;$166.921;$154.407;$167.00;$153.0326;11.588.110,00 €
05/22/2024;$166.30;$164.70;$171.80;$162.015;10.339.300,00 €
05/21/2024;$173.00;$165.542;$174.00;$164.50;12.977.510,00 €
05/20/2024;$159.70;$172.724;$172.896;$155.142;16.716.970,00 €
05/17/2024;$150.098;$158.45;$158.50;$146.90;16.529.320,00 €
05/16/2024;$149.41;$143.998;$151.89;$143.545;13.655.550,00 €
05/15/2024;$137.96;$150.347;$152.034;$135.109;20.586.430,00 €
05/14/2024;$122.648;$129.763;$129.869;$122.648;9.267.860,00 €
05/13/2024;$121.794;$124.596;$126.4151;$120.30;8.757.250,00 €
05/10/2024;$128.999;$118.048;$130.199;$117.853;14.038.440,00 €
05/09/2024;$123.00;$126.364;$130.30;$120.099;10.533.700,00 €
05/08/2024;$119.839;$123.312;$125.9898;$119.00;8.590.160,00 €
05/07/2024;$127.82;$125.745;$131.90;$125.13;9.967.680,00 €
05/06/2024;$127.385;$126.881;$133.90;$126.01;13.870.320,00 €
05/03/2024;$120.101;$122.301;$124.20;$117.282;15.609.620,00 €
05/02/2024;$105.50;$112.942;$114.2302;$104.1762;15.402.250,00 €
05/01/2024;$101.553;$102.827;$110.9325;$101.00;19.248.840,00 €
04/30/2024;$119.901;$106.503;$121.542;$106.317;24.936.030,00 €
04/29/2024;$125.00;$129.297;$130.8416;$122.842;10.130.730,00 €
04/26/2024;$122.50;$128.238;$128.597;$120.401;8.814.620,00 €
04/25/2024;$122.60;$124.041;$126.772;$120.114;7.734.030,00 €
04/24/2024;$132.701;$126.567;$134.50;$126.00;9.511.860,00 €
