fund_name,isin,currency,category,dividend,ann_cost,rating_class,risk_class,sustainablity_class,3y_ann_perf,5y_ann_perf,AUM_DKK,sharpe_ratio,provider,asset_class,geography
Danske Inv Danske Korte Obl kl DKK d,DK0016290422,DKK,Obligationer - DKK Korte,Distributing,0.24,3.0,2,Article 8,-2.09,-5.04,2150.0,-0.47,DanskeInvest,Bonds,Denmark
Danske Inv Danske Lange Obl kl DKKd,DK0016105380,DKK,Obligationer - DKK Øvrige,Distributing,0.48,1.0,2,Article 8,-10.84,-18.11,1559.0,-0.64,DanskeInvest,Bonds, DKK Øvrige
Danske Inv Euro Inv Grade-Obl kl DKKdh,DK0060448751,DKK,Obligationer - EUR Virksomheder,Distributing,0.71,3.0,2,Article 8,-6.87,-8.98,5120.0,-0.59,DanskeInvest,Bonds,Europe
Danske Inv Europa Akk kl DKKh,DK0016290265,DKK,Aktier - Øvrige,Accumulating,1.42,,4,Article 8,7.02,40.83,554.0,0.2,DanskeInvest,Stocks,Other
Danske Inv Europa Højt Udb Akk kl DKK,DK0060058618,DKK,Aktier - Europa Højt Udbytte,Accumulating,1.53,4.0,4,Article 8,21.25,39.64,612.0,0.53,DanskeInvest,Stocks,Europe
Danske Inv Europa Højt Udbytte kl DKK d,DK0016253651,DKK,Aktier - Europa Højt Udbytte,Distributing,1.53,4.0,4,Article 8,-3.7,2.34,883.0,0.53,DanskeInvest,Stocks,Europe
"Danske Inv Europa Indeks BNP, kl DKK d",DK0015737563,DKK,Aktier - Europa Large Cap Blend,Distributing,0.35,3.0,4,Article 8,17.52,43.56,335.0,0.46,DanskeInvest,Stocks,Europe
"Danske Inv Europa Indeks, klasse DKK d",DK0010266311,DKK,Aktier - Europa Large Cap Blend,Distributing,0.35,4.0,4,Article 8,0.79,19.85,1956.0,0.42,DanskeInvest,Stocks,Europe
Danske Inv Europa Small Cap Akk kl DKK,DK0060640191,DKK,Aktier - Europa Small Cap,Accumulating,1.49,3.0,4,Article 8,-22.95,30.21,148.0,-0.47,DanskeInvest,Stocks,Europe
Danske Inv Europa Small Cap kl DKK d,DK0060046019,DKK,Aktier - Europa Small Cap,Distributing,1.49,4.0,4,Article 8,-43.93,-20.49,829.0,-0.47,DanskeInvest,Stocks,Europe
"Danske Inv Europa, klasse DKKd",DK0010252956,DKK,Aktier - Europa Large Cap Blend,Distributing,1.42,4.0,4,Article 8,-5.44,8.11,610.0,0.24,DanskeInvest,Stocks,Europe
"Danske Inv Fjernøsten Indeks, kl DKK d",DK0010207141,DKK,Aktier - Asien ex. Japan,Distributing,0.5,4.0,4,Article 8,-4.54,12.97,669.0,-0.05,DanskeInvest,Stocks,Asia
"Danske Inv Fonde, kl DKK d",DK0015989610,DKK,Obligationer - DKK Korte Indenlandske,Distributing,0.48,1.0,2,Article 8,-14.87,-18.55,1182.0,,DanskeInvest,Bonds,Denmark
"Danske Inv Glo High Yield-Obl, kl DKKdh",DK0060448918,DKK,Obligationer - Globale Højrente EUR Valutasikret,Distributing,1.1,3.0,3,Article 8,-1.14,-0.6,738.0,-0.32,DanskeInvest,Bonds,Global
