Date,Close/Last,Volume,Open,High,Low
09/17/2024,$131.27,21043390,$138.37,$140.16,$128.8209
09/16/2024,$134.53,8765884,$137.02,$137.88,$132.67
09/13/2024,$141.47,12239120,$131.10,$143.00,$129.84
09/12/2024,$130.77,6052392,$129.00,$134.10,$127.2723
09/11/2024,$129.28,8731203,$124.805,$131.00,$121.30
09/10/2024,$129.64,7738025,$123.00,$129.82,$121.55
09/09/2024,$124.82,9771186,$118.93,$125.2289,$117.5003
09/06/2024,$114.30,8795527,$122.93,$124.69,$113.69
09/05/2024,$119.57,6066645,$122.35,$126.83,$119.43
09/04/2024,$124.85,8191094,$120.25,$125.98,$117.9401
09/03/2024,$122.32,8258810,$132.00,$132.73,$122.19
08/30/2024,$132.42,7802999,$134.00,$135.2499,$128.30
08/29/2024,$132.56,8431380,$137.00,$139.43,$131.00
08/28/2024,$132.09,8860102,$138.16,$138.40,$130.73
08/27/2024,$140.01,10943130,$144.48,$145.238,$138.19
08/26/2024,$146.90,10418750,$148.12,$152.35,$146.60
08/23/2024,$150.01,17791300,$137.40,$151.81,$135.51
08/22/2024,$133.81,7963436,$141.39,$141.78,$133.69
08/21/2024,$141.42,11774540,$134.34,$142.58,$132.87
08/20/2024,$133.69,11274580,$139.735,$141.36,$130.63
08/19/2024,$135.35,6595737,$133.70,$137.44,$131.16
08/16/2024,$133.04,11360410,$133.25,$136.32,$126.59
08/15/2024,$131.93,10856850,$132.70,$139.00,$130.73
08/14/2024,$130.37,8535928,$136.37,$137.40,$129.33
08/13/2024,$135.38,8123111,$132.28,$140.00,$130.26
08/12/2024,$131.46,6932336,$133.49,$139.2129,$129.22
08/09/2024,$135.37,7330433,$135.89,$136.685,$129.55
08/08/2024,$135.99,10378310,$130.23,$136.76,$128.06
08/07/2024,$124.685,10933850,$140.878,$142.158,$124.013
08/06/2024,$136.921,12260230,$132.60,$139.494,$126.218
08/05/2024,$130.90,22677550,$105.165,$135.427,$102.402
08/02/2024,$144.799,14126190,$148.581,$159.14,$141.71
08/01/2024,$151.181,11930000,$161.50,$163.436,$148.202
07/31/2024,$161.444,7533810,$164.603,$168.50,$160.8552
07/30/2024,$160.407,9154800,$168.799,$169.50,$159.249
07/29/2024,$168.485,12801620,$181.999,$183.70,$167.1275
07/26/2024,$175.271,14137670,$170.00,$177.697,$168.601
07/25/2024,$160.647,14772330,$161.65,$167.7855,$150.766
07/24/2024,$167.269,13773770,$175.00,$176.952,$166.702
07/23/2024,$172.177,10746610,$176.399,$179.80,$171.502
07/22/2024,$180.009,15391120,$178.402,$181.0662,$173.613
07/19/2024,$177.85,20458260,$157.34,$178.50,$156.50
07/18/2024,$155.516,10236330,$163.39,$163.70,$151.625
07/17/2024,$159.00,17211670,$161.10,$167.408,$153.00
07/16/2024,$166.43,15809620,$161.50,$167.5784,$157.6395
07/15/2024,$161.128,24670830,$152.40,$163.90,$149.2425
07/12/2024,$139.676,10640830,$133.92,$143.5404,$132.419
07/11/2024,$135.856,13548930,$139.60,$143.20,$132.9235
07/10/2024,$130.572,6387290,$131.97,$134.50,$129.60
07/09/2024,$130.177,8968510,$131.388,$132.00,$127.8085
07/08/2024,$129.058,8736390,$131.453,$132.50,$125.8782
07/05/2024,$128.172,15029080,$121.55,$129.917,$120.232
07/03/2024,$130.209,6659400,$129.80,$132.80,$127.3471
07/02/2024,$132.019,9229110,$136.551,$138.4405,$130.657
07/01/2024,$136.597,14129320,$141.00,$143.595,$136.308
06/28/2024,$137.748,34113490,$151.642,$151.90,$136.702
06/27/2024,$152.54,9307670,$148.50,$153.90,$146.35
06/26/2024,$145.773,7501750,$147.229,$150.5015,$144.50
06/25/2024,$149.574,13627970,$141.377,$149.90,$139.3391
06/24/2024,$137.215,16080740,$139.80,$144.89,$132.5541
06/21/2024,$148.376,11494630,$142.00,$149.105,$140.902
06/20/2024,$146.54,9097600,$148.211,$150.559,$142.206
06/18/2024,$146.943,8933680,$145.793,$151.095,$144.60
06/17/2024,$150.726,12076360,$149.98,$156.901,$142.1169
06/14/2024,$149.554,13790090,$150.50,$153.80,$146.151
06/13/2024,$148.388,21107660,$156.33,$157.376,$144.101
06/12/2024,$160.367,13681250,$162.00,$169.271,$159.1765
06/11/2024,$155.549,11411820,$154.20,$156.415,$148.66
06/10/2024,$159.992,7264600,$157.501,$164.776,$156.029
06/07/2024,$159.62,12626880,$167.102,$171.77,$158.50
06/06/2024,$165.663,11622910,$169.859,$173.4698,$164.705
06/05/2024,$169.469,10955850,$167.50,$171.784,$163.624
06/04/2024,$163.877,13229510,$161.742,$169.70,$161.50
06/03/2024,$162.741,11222360,$160.10,$165.60,$156.0417
05/31/2024,$152.449,22153560,$159.70,$161.482,$144.20
05/30/2024,$154.10,14776450,$165.30,$171.499,$153.1955
05/29/2024,$161.87,7344250,$165.00,$165.907,$161.118
05/28/2024,$167.535,10799360,$165.00,$169.155,$161.002
05/24/2024,$168.484,12068560,$154.00,$168.4995,$152.80
05/23/2024,$154.407,11588110,$166.921,$167.00,$153.0326
05/22/2024,$164.70,10339300,$166.30,$171.80,$162.015
05/21/2024,$165.542,12977510,$173.00,$174.00,$164.50
05/20/2024,$172.724,16716970,$159.70,$172.896,$155.142
05/17/2024,$158.45,16529320,$150.098,$158.50,$146.90
05/16/2024,$143.998,13655550,$149.41,$151.89,$143.545
05/15/2024,$150.347,20586430,$137.96,$152.034,$135.109
05/14/2024,$129.763,9267860,$122.648,$129.869,$122.648
05/13/2024,$124.596,8757250,$121.794,$126.4151,$120.30
05/10/2024,$118.048,14038440,$128.999,$130.199,$117.853
05/09/2024,$126.364,10533700,$123.00,$130.30,$120.099
05/08/2024,$123.312,8590160,$119.839,$125.9898,$119.00
05/07/2024,$125.745,9967680,$127.82,$131.90,$125.13
05/06/2024,$126.881,13870320,$127.385,$133.90,$126.01
05/03/2024,$122.301,15609620,$120.101,$124.20,$117.282
05/02/2024,$112.942,15402250,$105.50,$114.2302,$104.1762
05/01/2024,$102.827,19248840,$101.553,$110.9325,$101.00
04/30/2024,$106.503,24936030,$119.901,$121.542,$106.317
04/29/2024,$129.297,10130730,$125.00,$130.8416,$122.842
04/26/2024,$128.238,8814620,$122.50,$128.597,$120.401
04/25/2024,$124.041,7734030,$122.60,$126.772,$120.114
04/24/2024,$126.567,9511860,$132.701,$134.50,$126.00
04/23/2024,$133.864,10478460,$131.10,$139.4451,$129.889
04/22/2024,$132.401,19410690,$120.90,$134.7902,$120.80
04/19/2024,$117.411,14746540,$123.70,$125.865,$116.6241
04/18/2024,$120.816,17696710,$119.20,$128.788,$116.843
04/17/2024,$118.805,20373970,$125.80,$126.422,$113.199
04/16/2024,$125.403,17292290,$130.602,$132.85,$121.515
04/15/2024,$133.588,16125420,$147.00,$148.997,$132.105
04/12/2024,$147.958,12905640,$153.50,$153.782,$143.30
04/11/2024,$155.181,14385910,$154.30,$157.837,$151.009
04/10/2024,$156.60,19391880,$138.75,$156.60,$137.377
04/09/2024,$144.102,16716660,$147.81,$148.0167,$137.50
04/08/2024,$151.299,20573630,$160.21,$162.378,$149.12
04/05/2024,$143.90,22739950,$157.00,$167.425,$143.20
04/04/2024,$161.542,20171340,$169.298,$173.972,$161.01
04/03/2024,$160.611,19772450,$158.001,$169.949,$156.832
04/02/2024,$157.883,18545840,$149.20,$159.229,$146.2943
04/01/2024,$163.674,19929540,$164.501,$169.019,$158.656
03/28/2024,$170.456,45559140,$194.30,$198.90,$164.5515
03/27/2024,$191.916,26226090,$195.30,$199.999,$184.20
03/26/2024,$187.699,23938900,$188.243,$190.95,$179.20
03/25/2024,$185.60,38840270,$160.50,$187.365,$159.442
03/22/2024,$152.30,20836180,$152.00,$159.449,$149.00
03/21/2024,$159.929,31589810,$159.412,$170.4364,$158.102
03/20/2024,$154.652,33314320,$142.301,$155.00,$136.301
03/19/2024,$141.75,44644130,$132.607,$145.00,$123.012
03/18/2024,$150.276,45111200,$171.845,$173.49,$144.501
03/15/2024,$178.236,44749940,$160.001,$181.50,$157.00
03/14/2024,$167.685,49867590,$170.801,$174.60,$155.077
03/13/2024,$176.615,37759450,$166.00,$177.40,$162.00
03/12/2024,$159.335,35488650,$154.40,$159.497,$143.8002
03/11/2024,$148.423,41024230,$155.00,$165.706,$147.735
03/08/2024,$142.559,37417740,$132.804,$145.173,$128.3664
03/07/2024,$130.002,21677160,$128.498,$132.104,$122.50
03/06/2024,$124.621,36939990,$114.00,$128.555,$113.1101
03/05/2024,$105.101,57366280,$124.419,$133.779,$103.506
03/04/2024,$133.401,54249890,$120.00,$135.991,$119.001
03/01/2024,$107.939,26964360,$99.60,$108.00,$99.20
02/29/2024,$102.284,35206030,$99.90,$104.00,$96.0444
02/28/2024,$96.295,48388190,$95.20,$100.888,$91.55
02/27/2024,$87.18,22747610,$86.61,$89.00,$84.176
02/26/2024,$79.648,22695290,$68.794,$80.995,$68.794
02/23/2024,$68.744,7392840,$69.901,$70.4285,$67.806
02/22/2024,$71.315,10425120,$68.37,$72.325,$67.999
02/21/2024,$67.28,7033060,$68.43,$68.538,$66.4257
02/20/2024,$70.498,9680050,$71.079,$72.198,$67.027
02/16/2024,$69.956,13407110,$73.50,$74.00,$68.938
02/15/2024,$71.80,23827690,$79.244,$80.678,$70.7514
02/14/2024,$76.988,20704740,$74.60,$77.484,$73.4165
02/13/2024,$68.602,13914530,$67.50,$70.122,$65.555
02/12/2024,$71.752,23099730,$65.199,$72.527,$65.017
02/09/2024,$64.632,24684570,$62.74,$64.89,$61.4115
02/08/2024,$58.781,22631100,$53.00,$58.846,$52.505
02/07/2024,$50.801,10997480,$49.947,$50.863,$46.749
02/06/2024,$49.80,6898740,$49.33,$50.9192,$49.312
02/05/2024,$49.06,8599300,$50.20,$50.348,$48.20
02/02/2024,$50.01,6098000,$49.725,$50.90,$49.10
02/01/2024,$50.348,6280830,$50.18,$51.506,$49.596
01/31/2024,$50.121,9379630,$50.80,$52.789,$49.9428
01/30/2024,$51.951,7388130,$51.698,$52.58,$50.764
01/29/2024,$51.381,13648890,$50.00,$52.497,$49.021
01/26/2024,$49.45,14660400,$47.00,$50.095,$46.475
01/25/2024,$45.778,6608460,$45.232,$46.40,$44.5889
01/24/2024,$45.099,8232670,$46.00,$46.20,$44.505
01/23/2024,$45.019,11716070,$45.00,$45.9817,$43.874
01/22/2024,$47.019,11431450,$46.80,$48.396,$45.539
01/19/2024,$48.10,11771730,$48.45,$48.72,$46.50
01/18/2024,$48.66,16604920,$50.00,$52.20,$47.785
01/17/2024,$49.90,9765870,$47.423,$49.91,$47.423
01/16/2024,$48.214,16453490,$47.90,$48.948,$46.70
01/12/2024,$48.553,27402780,$52.502,$52.589,$48.10
01/11/2024,$53.618,25703910,$59.899,$61.10,$53.03
01/10/2024,$56.567,16409460,$56.668,$58.70,$55.3841
01/09/2024,$57.729,14346430,$60.00,$60.278,$57.125
01/08/2024,$59.801,25142550,$64.00,$64.688,$58.652
01/05/2024,$63.108,9323070,$64.871,$65.403,$63.003
01/04/2024,$65.581,11192720,$63.86,$66.80,$62.845
01/03/2024,$63.106,18805690,$64.322,$65.855,$62.53
01/02/2024,$68.515,22074410,$69.249,$72.777,$68.00
